"","playlistlikesum","songtitlesum","songlikesum","singersum","songlyricsum"
"1","1412","1000 Years","824","장혜진","내게 우연처럼 다가왔던 그댄 왠지 낯설게만 느껴지질 않아 수 많은날 많은날 기다려 기다려 날 찾아 날 찾아 온거야 For a 1000 years 그댈 기다렸어 More than millino until 우리 사랑위해 기억해 언제까지 Well stand for a 1000 years 때론 함께하며 힘이 들겠지만 매일 우리 사랑위해 기도할께 간직해줘 간직해줘 내사랑을 사랑을 영원히 영원히 잊지마 For a 1000 years 그댈 기다렸어 More than millino until 우리 사랑위해 기억해 언제까지 Well stand for a 1000 years 그대 나를 위해 떠난단 말하지마 약속해줘 이별없는 영원한 사랑을 위해 For a 1000 years 그댈 기다렸어 More than millino until 우리 사랑위해 기억해 언제까지 Well stand for a 1000 years For a 1000 years 그댈 기다렸어 More than millino until 우리 사랑위해 기억해 언제까지 Well stand for a 1000 years 기억해 언제까지 Well stand for a 1000 years"
"2","1412","Officially Missing You","23787","Tamia","All I hear is raindrops falling on the rooftop Oh baby tell me whyd you have to go Cause this pain I feel it wont go away And today Im officially missin you I thought that from this heartache I could escape But Ive fronted long enough to know There aint no way And today Im officially missing you Ooh cant nobody do it like you Said every little thing you do hey baby Said it stays on my mind And I Im officially All I do is lay around 2 ears full of tears From looking at your face on the wall Just a week ago you were my baby Now I dont even know you at all I dont know you at all Well I wish that you would call me right now So that I could get through to you somehow But I guess its safe to say baby safe to say that I Im officially missin you Ooh cant nobody do it like you Said every little thing you do hey baby Said it stays on my mind And I Im officially Well I thought I could just get over you baby But I see thats something I just cant do From the way you would hold me To the sweet things you told me I just cant find a way to let go of you Ooh cant nobody do it like you Said every little thing you do hey baby Said it stays on my mind And I Im officially Its official Hoo you know that Im missin you yeah yes All I hear is raindrops oh yeah And I Im officially missin you"
"3","1412","Say You Love Me","39354","MYMP","Dont you know that i want to be more than just your friend Holding hands is fine but ive got better things on my mind You know it could happen if youd only see me in a different light baby when we finally get together you will see that i was right say you love me You know that it could be nice if youd only say you love me Dont treat me like i was i saw over Please love me Ill be yours and youll be mine and If youd only say you love me baby Things would really work out fine Dont you know that i want to be more than just your friend Holding hands is fine But ive got better things on my mind You know it could happen if youd only see me in a different light but baby when we finally get together you will see that i was right Say you love me You know that it could be nice If youd only say you love me and Dont treat me like i was i saw over Please love me Ill be yours and youll be mine and If youd only say you love me baby Things would really work out fine  Say you love me You know that it could be nice If youd only say you love me and Dont treat me like i was i saw over Please love me Ill be yours and youll be mine and If youd only say you love me baby Things would really work out fine and If youd only say you love me darlin Things would really work out fine"
"4","1412","이별이 오지 못하게","9937","페이지","정말 날 사랑하나요 그래요 그거면되요 너무 많은걸 바래서 마음이 아프나봐요 슬픔이 우릴 찾아도 나를 떠나면 안되요 이미 시작된 사랑을 어떻게 보내야하는지 나는 잘 모르니까요  이별이 오지 못하게 하늘에 기도할까요 서로만 사랑하도록 이대로만 어디도 가지 못하게 깊숙히 숨겨줄까요 우리사랑 이대로만  그대를 만나기전에 난 어디에 있었는지 그댈 만났던 그날 난 다시 태어났던거죠 그대밖에 난 몰라요  이별이 오지 못하게 하늘에 기도할까요 서로만 사랑하도록 이대로만 어디도 가지 못하게 깊숙히 숨겨줄까요 우리사랑   눈가려도 보이니까 그대만 보면 되니까 두눈을 감고 살까요 그럴까요 그댄 잊으면 안되요 그대만 있으면되요 그러면 난 행복해요 "
"5","1412","보라빛향기","16383","WABLE 와블","그대 모습은 보라빛처럼 살며시 다가왔지 예쁜 두 눈에 향기가 어려 잊을 수가 없었네 언제나 우리 웃을수 있는 아름다운 얘기들을 만들어 가요 외로움이 다가와도 그대 슬퍼하지마 답답한 내 맘이 더 아파오잖아 길을 걷다 마주치는 많은 사람들 중에 그대 나에게 사랑을 건네준 사람 그대 모습은 보라빛처럼 살며시 다가왔지 예쁜 두 눈에 향기가 어려 잊을 수가 없었네 언제나 우리 웃을수 있는 아름다운 얘기들을 만들어 가요 외로움이 다가와도 그대 슬퍼하지마 답답한 내 맘이 더 아파오잖아 길을 걷다 마주치는 많은 사람들 중에 그대 나에게 사랑을 건네준 사람 길을 걷다 마주치는 많은 사람들 중에 그대 나에게 사랑을 건네준 사람 사랑을 건네준 사람 사랑을 건네준 사람"
"6","1412","두 사람","2506","옥상달빛","때로는 이 길이 멀게만 보여도 서글픈 마음에 눈물이 흘러도 모든 일이 추억이 될 때까지 우리 두 사람 서로의 쉴 곳이 되어주리 지친 하루가 가고 달빛 아래 두 사람 하나의 그림자 눈 감으면 잡힐 듯 아련한 행복이 아직 저기 있는데 상처 입은 마음은 너의 꿈마저 그늘을 드리워도 기억해줘 아프도록 사랑하는 사람이 곁에 있다는 걸 때로는 이 길이 멀게만 보여도 서글픈 마음에 눈물이 흘러도 모든 일이 추억이 될 때까지 우리 두 사람 서로의 쉴 곳이 되어 서툴고 또 부족하지만 언제까지나 곁에 있을게 모진 바람 또 다시 불어와도 우리 두 사람 우리 두 사람 저 거친 세월을 지나가리"
"7","1412","그리고 그리고 그려봐","16446","마마무 Mamamoo","그리고 그리고 그려봐 너의 얼굴 너와 걷던 그 거리 모든 게 달라 보였어 그리고 그리고 그려봐 봄을 지나 여름 가을 또 겨울 그 속에 우리 둘 한 폭의 그림의 기억을 만나 그리고 그려봐 첫만남 떨림 설레였던 순간 그리고 그려 함께했던 크리스마스에 그곳 모두 다 담을 거야 우리란 그림 속에 My memory Every day Every night 건너편 버스정류장 한쪽씩 나눠 듣던 이어폰 넌 내 머릴 쓰다듬네 또 You mean everything to me 그리고 우리만의 멜로디 너라는 도화지 위 스며드는 나의 물감 My memory 그리고 그리고 들어봐 하루하루 나를 채워 귓가에 포근한 네 목소리로 그리고 그리고 둘러봐 눈이 오던 작은 거리 우리 둘 모든 게 하얗게 칠해진 그곳에 기억을 만나 그리고 그려봐 첫만남 떨림 설레였던 순간 그리고 그려 함께했던 크리스마스에 그곳 모두 다 담을 거야 우리란 그림 속에 My memory 추억이 많아 그리고 또 그려 기억들 조각 하나 둘 꺼내서 그리고 그려 둘이라서 따뜻한 순간들 모두 다 담을 거야 우리란 그림 속에 My memory"
"8","1412","汝歌 여가","24003","장연주","이노래 너에게 불러주고 싶었어 오직 너만을 바라보면서  이렇게도 떨리는건지 몰랐어 너를보며 노래를 부른다는게 조금은 어색하게 느껴진대도 날 바라보며 들어주겠니  이런 말을 여자가 먼저 한다고 이상하게 생각할지도 몰라서 망설여 졌었지만 언제까지나 이런 마음을 숨겨둘수는 없으니까  언제부터인지 나도 모르게 너에 대한 간절한 맘 때문에 홀로 너를 상상하며 말을 걸어보기도 하고 행복함에 웃음짓곤 했어  이런 날 위해 조금만 더 다가와줄순 없니 이젠 내게 대답해줄수 있니 잡을수 없는 내 맘을 잡아줄수 있는 사람은 오직 내겐 너 하나 뿐인걸   이런 날 위해 조금만 더 다가와줄순 없니 이젠 내게 대답해줄수 있니 잡을수 없는 내 맘을 잡아줄수 있는 사람은 오직 내겐 너 하나 뿐인걸  용기가 없어 말 못한거라면 지금 이순간 사랑한다 말해주면 되는데 그리곤 나를 꼭 안아줘 이 노래가 끝난후에 널 쳐다볼수 없을것만 같아 "
"9","1412","넌 내 애인이고 사랑이고 운명이야","17142","블루베리","사람들이 우리 닮아보인데 사랑하면 다 닮아가나봐 웃는모습부터 사소한 말투까지 우린 많이 닮았어 사람들이 요즘 예뻐보인데 사랑하면 더 예뻐지나봐 자꾸 웃게 되니깐 그런가봐 요즘만 같아라 넌 내애인이야 넌 내사랑이야 넌 내운명이야 모든게 기적만 같아 니 두손 꼭잡고 걸을래 니 두눈 보면서 말할래 너만 있으면 난 좋아 My Luv 자주보던 드라마도 안보고 주말이면 약속 없어도 되고 니가 옆에 있으니 그런가봐 요즘만 같아라 넌 내인이야 넌 내사랑이야 넌 내운명이야 모든게 다 기적만 같아 니 두손 꼭잡고 걸을래 니 두눈 보면서 말할래 너만 있으면 난 좋아 My Luv 넌 내인이야 넌 내사랑이야 넌 내운명이야 모든게 다 기적만 같아 니 두손꼭잡고 걸을래 니 두눈보면서 말할래 너만 있으면 난좋아 My Luv"
"10","1412","You Mean Everything To Me","8808","박정현","그대 가슴에 귀를 대보면 나는 정말 행복해져요 날 사랑하는 그대 가슴이 너무 건강히 뛰고 있으니 따뜻하기 까지한 그대란 사람 언제까지나 내 곁에 머물러 줄 수 있나요 You mean everything You are everything to me 그대 짓는 표정이 나를 바꿔요 You mean everything 나를 숨쉬게 하는 가슴속의 주인이죠 나의 그대여  그대 입술을 바라볼때면 나는 정말 행복해져요 날 사랑한단 그 꿈같은 말을 애타던 내 귀에 속삭여 주었으니 부드럽기 까지한 그대란 사람 언제까지나 내 곁에 머물어 줄 수 있나요 You mean everything You are everything to me 그대 짓는 표정이 나를 바꿔요 You mean everything 나를 숨쉬게 하는 가슴속의 주인이죠 나의 그대여 가끔씩 그대가 떠나간 걸 그리면 아찔해 오는걸 믿어도 되나요 아니 믿고 싶어 영원한걸 You mean everything You are everything to me 그대 짓는 표정이 나를 바꿔요 You mean everything 나를 숨쉬게 하는 가슴속의 주인이죠 그대여 You mean everything You are everything everything to me 그대 짓는 표정이 나를 바꿔요 나를 바꿔요 You mean everything 나를 숨쉬게 하는 가슴속의 주인은 바로 그대여"
"11","1412","사랑해요","3860","이소은","고마워요 닿을듯 그대 옆에 있기에 더는 내일이 나 두렵지 않죠 사랑땜에 힘든 건 이별땜에 아픈건 영화 속에만 있었으면해 언제나 난 믿었죠 내 반쪽 그대라고 너무나 익숙해서 늘 불안했었던 나를 너무나 행복해서 많이 울었던 나를 말없이 안아주었죠 이제는 안아줘"
"12","1412","결혼할래요","2730","써니힐","My Love 밥은 거르지 않기 매일 꼭 껴안아주기 혹시 늦은 새벽에 올 때면 잠들기 전에 연락해주기 My Love 거짓말은 안 하기 가끔 둘만의 데이트 하기 혹시 속상한 일이 생길 때에는 나에게 말해주기 꼭 약속해줘요 Its a wonderful day Its a beautiful day 서로 같은 곳을 바라보며 걸어요 언제라도 힘들거나 지칠 땐 내게 와서 안겨요 내가 그대 곁을 지켜줄게요 시간이 흘러도 변치 않을게요 지금 마주잡은 두 손 놓지 말아요 고마워요 평생을 함께 할 사람 난 믿어요 우리 결혼할래요 My Love 나는 많이 서툴죠 아직 반찬도 많이 못해요 첨엔 사소한 일로 다투겠지만 조금 더 그댈 위해 내가 노력할게요 Its a wonderful day Its a beautiful day 서로 같은 곳을 바라보며 걸어요 언제라도 힘들거나 지칠 땐 내게 와서 안겨요 내가 그대 곁을 지켜줄게요 시간이 흘러도 변치 않을게요 지금 마주잡은 두 손 놓지 말아요 고마워요 평생을 함께 할 사람 난 믿어요 우리 결혼할래요 Thank you for your love I feel your whisper in my dreams You are always in my heart Youre so special You complete me OK 이렇게 기분 좋은 Good day 그대와 함께하는 행복 이젠 Everyday 슬픔이여 안녕 외로움도 안녕 Oh Happy day 랄라라라랄라 랄라라라랄라 라라라랄라라 라랄라라 라랄라 사랑해요 행복을 함께 할 사람 난 믿어요 오직 그대뿐이죠 약속해요 평생을 함께 할 사람 난 믿어요 우리 결혼할래요"
"13","1412","사랑인걸","2909","송희란","하루가 가는 소릴 들어 너없는 세상속에 달이 저물고 해가 뜨는 서러움 한날도 한시도 못살것같더니 그저 이렇게 그리워 하며 살아 어디서부터 잊어갈까 오늘도 기억속에 니가 찾아와 하루종일 떠들어 니말투 니표정 너무 분명해서 마치 지금도 내곁에 니가 사는 것 만 같아 사랑인걸 사랑인걸 지워봐도 사랑인걸 아무리 비워내도 내안에는 너만살아 너 하나만 너 하나만 기억하고 원하는걸 보고픈 너의 사진을 꺼내어 보다 잠들어 어디서부터 잊어갈까 오늘도 기억속에 니가 찾아와 하루종일 떠들어 니말투 니표정 너무 분명해서 마치 지금도 내곁에 니가 사는 것 만 같아 사랑인걸 사랑인걸 지워봐도 사랑인걸 아무리 비워내도 내안에는 너만살아 너 하나만 너 하나만 기억하고 원하는걸 보고픈 너의 사진을 꺼내어 보다 잠들어 잠결에 흐르던 눈물이 곧 말라가듯 조금씩 흐려지겠지 손내밀면 닿을 듯 아직은 눈에 선한 니 얼굴 사랑해 사랑해 잊으면 안돼 너만보고 너만알고 너만위해 살았던 날 마음 둘 곳을 몰라 하루가 일년같아 아무것도 아무일도 아무말도 못하는 나 그래도 사랑을 믿어 그래도 사랑을 믿어"
"14","1412","달아요","23485","박정현","우 참으려 해도 웃음이 나와 샴페인이 터지듯 좋아 낮은 목소리 장난스러운 그대 걸음도 Oh you  I oh you  I 왜 이렇게 왜 이렇게 좋아요 I can see the sunlight in your eyes Everyday oh everyday 웃게 해줄게 서툴겠지만 그댈 위해서만 그대 이름 혀끝에 녹아 내릴듯 달아요 그댈 몰랐다면 몰랐어요 이런 기분을 이런 행복을 Oh you  I oh you  I 왜 이렇게 왜 이렇게 좋아요 I can see the sunlight in your eyes Everyday oh everyday 웃게 해줄게 서툴겠지만 그댈 위해서만  생각만 해도 아파요 나를 떠나면 안되요 그대 없었다면 없었어요 이런 노래도 이런 사랑도 Oh you  I oh you  I 부끄럽게 간지럽게 이대로 아무것도 숨기지 마요 Everyday oh everyday 믿게 해줄게 언제까지 그댈 사랑해요 우 감추려해도 다 보이나 봐 햇살이 퍼지듯 이런 바보같은 날 온 세상이 다 놀려도 좋아"
"15","1412","물론","41093","지아","물론  가진 게 그리 많지 않아 어쩌면 많이 부족할지 몰라 가끔 나와 다투기도 하겠지만 주위를 둘러보면 네게 나보다 좋은사람 많겠지만 널 사랑하는 맘 나 그것만큼은 자신있는걸 내리는 비를 막아줄 수는 없지만 비가 오면 항상 함께 맞아줄게 힘든 일이 있어도 기쁜 일이 있어도 함께할게 물론 모든 걸 다 줄 수는 없지만 작은 행복에 미소짓게 해줄게 무슨 일이 있어도 너의 편이 돼 줄게 언제까지나 세상이 그리 쉽지 않아 몇번씩 넘어지고 할지 몰라 꼭 잡은 두 손만 놓치지 않고서 함께 가면 돼 내리는 비를 막아줄 수는 없지만 비가 오면 항상 함께 맞아줄게 힘든 일이 있어도 기쁜 일이 있어도 함께할게 물론 모든 걸 다 줄 수는 없지만 작은 행복에 미소짓게 해줄게 무슨 일이 있어도 너의 편이 돼 줄게 언제까지나"
"16","1412","그대이길 바래요","275","이소은","매일 아침 꿈에서 그댈 만나곤해요 설명할순 없겠죠 사랑이 아니라면 그대 두눈 볼때면 왠지 눈물이 나요 이런 기분인 가요 나도 알것 같아요 나이제 다가가요 운명을 느낀거죠 이런내가 우습나요 혹시 바보 같나요 단한번 뿐이라면 그대이길 바래요 웃어줘요 나를 봐요 오늘만을 기다려온 나를   나의 욕심인가요 모든걸 원하는게 사랑때문이라면 이해할수 있겠죠 그대를 갖고 싶은 내가 싫진 않겠죠 이런 또 저런 생각 나를 맴도는걸요 나이제 다가가요 받아줄순 없나요 이런내가 우습나요 혹시 바보 같나요 단한번 뿐이라면 그대이길 바라는 나를 봐요 웃어줘요 오늘만을 기다려온 내게로   그대의 품에 안겨 숨쉬고 있는 나를 그려봤죠 행복했죠 포기하지 않아요 단한번 뿐이라면 그대이길 바래요 기쁜걸요 고마워요 그대만을 허락하는 내게로"
"17","1412","사랑일까","17687","제이레빗J Rabbit","지금 우리는 사랑일까 이상하게 맴도는 알듯 말듯 한 속삭임 세상의 수많은 연인들 say Good Bye or I love you 운명이란건 때로는 우연인 듯 한 여름 밤의 소나기 같아 눈치없이 설레이는 걸 어쩌면 나는 그댈 좋아해 아냐 몰라 넌 괜히 두근두근 사람 헷갈리게 복잡한 너와 나 사이 Oh 지금 우리는 사랑일까 손 잡고 길을 걸어 볼까 기분좋은 날에는 달콤한 노래도 불러줄게 Doo Roo Roo the sweat singing lullaby How great How deep How big is your love 사랑일 것 같아도 운명이란건 때로는 우연인 듯 한 여름 밤의 소나기 같아 눈감으면 설레이는 걸 어쩌면 나는 그댈 좋아해 아냐 몰라 넌 괜히 두근두근 사람 헷갈리게 복잡한 너와 나 사이 Oh 지금 우리는 사랑일까 어떡해 love is so sweat love is breaking my heart eventually theyll be falling in love 복잡한 너와 나 사이 Oh 지금 우리는 사랑일까"
